tile_ID,geometry,position
36,"POLYGON ((-77.04792967727045 38.917550066233616, -77.04792967727045 38.93152738722498, -77.02996337158805 38.93152738722498, -77.02996337158805 38.917550066233616, -77.04792967727045 38.917550066233616))","[3, 8]"
37,"POLYGON ((-77.04792967727045 38.93152738722498, -77.04792967727045 38.94550195432127, -77.02996337158805 38.94550195432127, -77.02996337158805 38.93152738722498, -77.04792967727045 38.93152738722498))","[3, 9]"
38,"POLYGON ((-77.04792967727045 38.94550195432127, -77.04792967727045 38.959473767233916, -77.02996337158805 38.959473767233916, -77.02996337158805 38.94550195432127, -77.04792967727045 38.94550195432127))","[3, 10]"
39,"POLYGON ((-77.04792967727045 38.959473767233916, -77.04792967727045 38.97344282567505, -77.02996337158805 38.97344282567505, -77.02996337158805 38.959473767233916, -77.04792967727045 38.959473767233916))","[3, 11]"
40,"POLYGON ((-77.04792967727045 38.97344282567505, -77.04792967727045 38.987409129357545, -77.02996337158805 38.987409129357545, -77.02996337158805 38.97344282567505, -77.04792967727045 38.97344282567505))","[3, 12]"
41,"POLYGON ((-77.04792967727045 38.987409129357545, -77.04792967727045 39.001372677994944, -77.02996337158805 39.001372677994944, -77.02996337158805 38.987409129357545, -77.04792967727045 38.987409129357545))","[3, 13]"
42,"POLYGON ((-77.02996337158805 38.7916303, -77.02996337158805 38.805632392943714, -77.01199706590566 38.805632392943714, -77.01199706590566 38.7916303, -77.02996337158805 38.7916303))","[4, 0]"
43,"POLYGON ((-77.02996337158805 38.805632392943714, -77.02996337158805 38.819631734621595, -77.01199706590566 38.819631734621595, -77.01199706590566 38.805632392943714, -77.02996337158805 38.805632392943714))","[4, 1]"
44,"POLYGON ((-77.02996337158805 38.819631734621595, -77.02996337158805 38.833628324738626, -77.01199706590566 38.833628324738626, -77.01199706590566 38.819631734621595, -77.02996337158805 38.819631734621595))","[4, 1]"
45,"POLYGON ((-77.02996337158805 38.833628324738626, -77.02996337158805 38.847622163000544, -77.01199706590566 38.847622163000544, -77.01199706590566 38.833628324738626, -77.02996337158805 38.833628324738626))","[4, 2]"
46,"POLYGON ((-77.02996337158805 38.847622163000544, -77.02996337158805 38.86161324911378, -77.01199706590566 38.86161324911378, -77.01199706590566 38.847622163000544, -77.02996337158805 38.847622163000544))","[4, 3]"
47,"POLYGON ((-77.02996337158805 38.86161324911378, -77.02996337158805 38.875601582785485, -77.01199706590566 38.875601582785485, -77.01199706590566 38.86161324911378, -77.02996337158805 38.86161324911378))","[4, 4]"
48,"POLYGON ((-77.02996337158805 38.875601582785485, -77.02996337158805 38.88958716372352, -77.01199706590566 38.88958716372352, -77.01199706590566 38.875601582785485, -77.02996337158805 38.875601582785485))","[4, 5]"
49,"POLYGON ((-77.02996337158805 38.88958716372352, -77.02996337158805 38.90356999163647, -77.01199706590566 38.90356999163647, -77.01199706590566 38.88958716372352, -77.02996337158805 38.88958716372352))","[4, 6]"
50,"POLYGON ((-77.02996337158805 38.90356999163647, -77.02996337158805 38.917550066233616, -77.01199706590566 38.917550066233616, -77.01199706590566 38.90356999163647, -77.02996337158805 38.90356999163647))","[4, 7]"
51,"POLYGON ((-77.02996337158805 38.917550066233616, -77.02996337158805 38.93152738722498, -77.01199706590566 38.93152738722498, -77.01199706590566 38.917550066233616, -77.02996337158805 38.917550066233616))","[4, 8]"
52,"POLYGON ((-77.02996337158805 38.93152738722498, -77.02996337158805 38.94550195432127, -77.01199706590566 38.94550195432127, -77.01199706590566 38.93152738722498, -77.02996337158805 38.93152738722498))","[4, 9]"
53,"POLYGON ((-77.02996337158805 38.94550195432127, -77.02996337158805 38.959473767233916, -77.01199706590566 38.959473767233916, -77.01199706590566 38.94550195432127, -77.02996337158805 38.94550195432127))","[4, 10]"
54,"POLYGON ((-77.02996337158805 38.959473767233916, -77.02996337158805 38.97344282567505, -77.01199706590566 38.97344282567505, -77.01199706590566 38.959473767233916, -77.02996337158805 38.959473767233916))","[4, 11]"
55,"POLYGON ((-77.02996337158805 38.97344282567505, -77.02996337158805 38.987409129357545, -77.01199706590566 38.987409129357545, -77.01199706590566 38.97344282567505, -77.02996337158805 38.97344282567505))","[4, 12]"
56,"POLYGON ((-77.01199706590566 38.805632392943714, -77.01199706590566 38.819631734621595, -76.99403076022327 38.819631734621595, -76.99403076022327 38.805632392943714, -77.01199706590566 38.805632392943714))","[5, 1]"
57,"POLYGON ((-77.01199706590566 38.819631734621595, -77.01199706590566 38.833628324738626, -76.99403076022327 38.833628324738626, -76.99403076022327 38.819631734621595, -77.01199706590566 38.819631734621595))","[5, 1]"
58,"POLYGON ((-77.01199706590566 38.833628324738626, -77.01199706590566 38.847622163000544, -76.99403076022327 38.847622163000544, -76.99403076022327 38.833628324738626, -77.01199706590566 38.833628324738626))","[5, 2]"
59,"POLYGON ((-77.01199706590566 38.847622163000544, -77.01199706590566 38.86161324911378, -76.99403076022327 38.86161324911378, -76.99403076022327 38.847622163000544, -77.01199706590566 38.847622163000544))","[5, 3]"
60,"POLYGON ((-77.01199706590566 38.86161324911378, -77.01199706590566 38.875601582785485, -76.99403076022327 38.875601582785485, -76.99403076022327 38.86161324911378, -77.01199706590566 38.86161324911378))","[5, 4]"
61,"POLYGON ((-77.01199706590566 38.875601582785485, -77.01199706590566 38.88958716372352, -76.99403076022327 38.88958716372352, -76.99403076022327 38.875601582785485, -77.01199706590566 38.875601582785485))","[5, 5]"
62,"POLYGON ((-77.01199706590566 38.88958716372352, -77.01199706590566 38.90356999163647, -76.99403076022327 38.90356999163647, -76.99403076022327 38.88958716372352, -77.01199706590566 38.88958716372352))","[5, 6]"
63,"POLYGON ((-77.01199706590566 38.90356999163647, -77.01199706590566 38.917550066233616, -76.99403076022327 38.917550066233616, -76.99403076022327 38.90356999163647, -77.01199706590566 38.90356999163647))","[5, 7]"
64,"POLYGON ((-77.01199706590566 38.917550066233616, -77.01199706590566 38.93152738722498, -76.99403076022327 38.93152738722498, -76.99403076022327 38.917550066233616, -77.01199706590566 38.917550066233616))","[5, 8]"
65,"POLYGON ((-77.01199706590566 38.93152738722498, -77.01199706590566 38.94550195432127, -76.99403076022327 38.94550195432127, -76.99403076022327 38.93152738722498, -77.01199706590566 38.93152738722498))","[5, 9]"
66,"POLYGON ((-77.01199706590566 38.94550195432127, -77.01199706590566 38.959473767233916, -76.99403076022327 38.959473767233916, -76.99403076022327 38.94550195432127, -77.01199706590566 38.94550195432127))","[5, 10]"
67,"POLYGON ((-77.01199706590566 38.959473767233916, -77.01199706590566 38.97344282567505, -76.99403076022327 38.97344282567505, -76.99403076022327 38.959473767233916, -77.01199706590566 38.959473767233916))","[5, 11]"
68,"POLYGON ((-76.99403076022327 38.819631734621595, -76.99403076022327 38.833628324738626, -76.97606445454089 38.833628324738626, -76.97606445454089 38.819631734621595, -76.99403076022327 38.819631734621595))","[6, 1]"
69,"POLYGON ((-76.99403076022327 38.833628324738626, -76.99403076022327 38.847622163000544, -76.97606445454089 38.847622163000544, -76.97606445454089 38.833628324738626, -76.99403076022327 38.833628324738626))","[6, 2]"
70,"POLYGON ((-76.99403076022327 38.847622163000544, -76.99403076022327 38.86161324911378, -76.97606445454089 38.86161324911378, -76.97606445454089 38.847622163000544, -76.99403076022327 38.847622163000544))","[6, 3]"
