tile_ID,geometry,position
50,"POLYGON ((-73.98341058863521 40.754241589114294, -73.98341058863521 40.76104612878771, -73.97442743579401 40.76104612878771, -73.97442743579401 40.754241589114294, -73.98341058863521 40.754241589114294))","[4, 8]"
51,"POLYGON ((-73.98341058863521 40.76104612878771, -73.98341058863521 40.76784997194176, -73.97442743579401 40.76784997194176, -73.97442743579401 40.76104612878771, -73.98341058863521 40.76104612878771))","[4, 9]"
52,"POLYGON ((-73.98341058863521 40.76784997194176, -73.98341058863521 40.7746531185518, -73.97442743579401 40.7746531185518, -73.97442743579401 40.76784997194176, -73.98341058863521 40.76784997194176))","[4, 10]"
53,"POLYGON ((-73.98341058863521 40.7746531185518, -73.98341058863521 40.78145556859322, -73.97442743579401 40.78145556859322, -73.97442743579401 40.7746531185518, -73.98341058863521 40.7746531185518))","[4, 11]"
54,"POLYGON ((-73.98341058863521 40.78145556859322, -73.98341058863521 40.788257322041495, -73.97442743579401 40.788257322041495, -73.97442743579401 40.78145556859322, -73.98341058863521 40.78145556859322))","[4, 12]"
55,"POLYGON ((-73.98341058863521 40.788257322041495, -73.98341058863521 40.7950583788721, -73.97442743579401 40.7950583788721, -73.97442743579401 40.788257322041495, -73.98341058863521 40.788257322041495))","[4, 13]"
56,"POLYGON ((-73.98341058863521 40.7950583788721, -73.98341058863521 40.80185873906056, -73.97442743579401 40.80185873906056, -73.97442743579401 40.7950583788721, -73.98341058863521 40.7950583788721))","[4, 14]"
57,"POLYGON ((-73.97442743579401 40.71339972555202, -73.97442743579401 40.72020844382193, -73.96544428295282 40.72020844382193, -73.96544428295282 40.71339972555202, -73.97442743579401 40.71339972555202))","[5, 2]"
58,"POLYGON ((-73.97442743579401 40.72020844382193, -73.97442743579401 40.72701646572116, -73.96544428295282 40.72701646572116, -73.96544428295282 40.72020844382193, -73.97442743579401 40.72020844382193))","[5, 3]"
59,"POLYGON ((-73.97442743579401 40.72701646572116, -73.97442743579401 40.733823791224836, -73.96544428295282 40.733823791224836, -73.96544428295282 40.72701646572116, -73.97442743579401 40.72701646572116))","[5, 4]"
60,"POLYGON ((-73.97442743579401 40.733823791224836, -73.97442743579401 40.74063042030813, -73.96544428295282 40.74063042030813, -73.96544428295282 40.733823791224836, -73.97442743579401 40.733823791224836))","[5, 5]"
61,"POLYGON ((-73.97442743579401 40.74063042030813, -73.97442743579401 40.74743635294619, -73.96544428295282 40.74743635294619, -73.96544428295282 40.74063042030813, -73.97442743579401 40.74063042030813))","[5, 6]"
62,"POLYGON ((-73.97442743579401 40.74743635294619, -73.97442743579401 40.754241589114294, -73.96544428295282 40.754241589114294, -73.96544428295282 40.74743635294619, -73.97442743579401 40.74743635294619))","[5, 7]"
63,"POLYGON ((-73.97442743579401 40.754241589114294, -73.97442743579401 40.76104612878771, -73.96544428295282 40.76104612878771, -73.96544428295282 40.754241589114294, -73.97442743579401 40.754241589114294))","[5, 8]"
64,"POLYGON ((-73.97442743579401 40.76104612878771, -73.97442743579401 40.76784997194176, -73.96544428295282 40.76784997194176, -73.96544428295282 40.76104612878771, -73.97442743579401 40.76104612878771))","[5, 9]"
65,"POLYGON ((-73.97442743579401 40.76784997194176, -73.97442743579401 40.7746531185518, -73.96544428295282 40.7746531185518, -73.96544428295282 40.76784997194176, -73.97442743579401 40.76784997194176))","[5, 10]"
66,"POLYGON ((-73.97442743579401 40.7746531185518, -73.97442743579401 40.78145556859322, -73.96544428295282 40.78145556859322, -73.96544428295282 40.7746531185518, -73.97442743579401 40.7746531185518))","[5, 11]"
67,"POLYGON ((-73.97442743579401 40.78145556859322, -73.97442743579401 40.788257322041495, -73.96544428295282 40.788257322041495, -73.96544428295282 40.78145556859322, -73.97442743579401 40.78145556859322))","[5, 12]"
68,"POLYGON ((-73.97442743579401 40.788257322041495, -73.97442743579401 40.7950583788721, -73.96544428295282 40.7950583788721, -73.96544428295282 40.788257322041495, -73.97442743579401 40.788257322041495))","[5, 13]"
69,"POLYGON ((-73.97442743579401 40.7950583788721, -73.97442743579401 40.80185873906056, -73.96544428295282 40.80185873906056, -73.96544428295282 40.7950583788721, -73.97442743579401 40.7950583788721))","[5, 14]"
70,"POLYGON ((-73.97442743579401 40.80185873906056, -73.97442743579401 40.80865840258246, -73.96544428295282 40.80865840258246, -73.96544428295282 40.80185873906056, -73.97442743579401 40.80185873906056))","[5, 15]"
71,"POLYGON ((-73.97442743579401 40.80865840258246, -73.97442743579401 40.815457369413394, -73.96544428295282 40.815457369413394, -73.96544428295282 40.80865840258246, -73.97442743579401 40.80865840258246))","[5, 16]"
72,"POLYGON ((-73.96544428295282 40.74743635294619, -73.96544428295282 40.754241589114294, -73.95646113011162 40.754241589114294, -73.95646113011162 40.74743635294619, -73.96544428295282 40.74743635294619))","[6, 7]"
73,"POLYGON ((-73.96544428295282 40.754241589114294, -73.96544428295282 40.76104612878771, -73.95646113011162 40.76104612878771, -73.95646113011162 40.754241589114294, -73.96544428295282 40.754241589114294))","[6, 8]"
