tile_ID,geometry,position
34,"POLYGON ((-73.92197476845517 40.7833686901202, -73.92197476845517 40.834363390213916, -73.8546011221462 40.834363390213916, -73.8546011221462 40.7833686901202, -73.92197476845517 40.7833686901202))","[5, 6]"
35,"POLYGON ((-73.92197476845517 40.834363390213916, -73.92197476845517 40.885318896286314, -73.8546011221462 40.885318896286314, -73.8546011221462 40.834363390213916, -73.92197476845517 40.834363390213916))","[5, 7]"
36,"POLYGON ((-73.92197476845517 40.885318896286314, -73.92197476845517 40.936235198190374, -73.8546011221462 40.936235198190374, -73.8546011221462 40.885318896286314, -73.92197476845517 40.885318896286314))","[5, 8]"
37,"POLYGON ((-73.8546011221462 40.476578, -73.8546011221462 40.527807643727705, -73.78722747583724 40.527807643727705, -73.78722747583724 40.476578, -73.8546011221462 40.476578))","[6, 0]"
38,"POLYGON ((-73.8546011221462 40.527807643727705, -73.8546011221462 40.578998157095846, -73.78722747583724 40.578998157095846, -73.78722747583724 40.527807643727705, -73.8546011221462 40.527807643727705))","[6, 1]"
39,"POLYGON ((-73.8546011221462 40.578998157095846, -73.8546011221462 40.63014952916199, -73.78722747583724 40.63014952916199, -73.78722747583724 40.578998157095846, -73.8546011221462 40.578998157095846))","[6, 2]"
40,"POLYGON ((-73.8546011221462 40.63014952916199, -73.8546011221462 40.68126174911684, -73.78722747583724 40.68126174911684, -73.78722747583724 40.63014952916199, -73.8546011221462 40.63014952916199))","[6, 3]"
41,"POLYGON ((-73.8546011221462 40.68126174911684, -73.8546011221462 40.73233480628412, -73.78722747583724 40.73233480628412, -73.78722747583724 40.68126174911684, -73.8546011221462 40.68126174911684))","[6, 4]"
42,"POLYGON ((-73.8546011221462 40.73233480628412, -73.8546011221462 40.7833686901202, -73.78722747583724 40.7833686901202, -73.78722747583724 40.73233480628412, -73.8546011221462 40.73233480628412))","[6, 5]"
43,"POLYGON ((-73.8546011221462 40.7833686901202, -73.8546011221462 40.834363390213916, -73.78722747583724 40.834363390213916, -73.78722747583724 40.7833686901202, -73.8546011221462 40.7833686901202))","[6, 6]"
44,"POLYGON ((-73.8546011221462 40.834363390213916, -73.8546011221462 40.885318896286314, -73.78722747583724 40.885318896286314, -73.78722747583724 40.834363390213916, -73.8546011221462 40.834363390213916))","[6, 7]"
